,Model A,Model B,Model C
262,double_derivative_is_in_shadow:idx_dd,double_derivative_wind_speed_w_1000hPa:ms_dd,double_derivative_snow_water:kgm2_dd
263,double_derivative_snow_density:kgm3_dd,double_integral_elevation:m_dintegral,double_derivative_super_cooled_liquid_water:kgm2_dd
264,double_derivative_snow_depth:cm_dd,double_integral_fresh_snow_1h:cm_dintegral,double_derivative_wind_speed_v_10m:ms_dd
265,double_derivative_snow_drift:idx_dd,double_integral_fresh_snow_3h:cm_dintegral,double_derivative_wind_speed_w_1000hPa:ms_dd
266,double_integral_fresh_snow_12h:cm_dintegral,double_integral_snow_drift:idx_dintegral,double_integral_fresh_snow_1h:cm_dintegral
267,double_integral_fresh_snow_3h:cm_dintegral,double_integral_wind_speed_w_1000hPa:ms_dintegral,double_integral_snow_density:kgm3_dintegral
268,double_integral_snow_drift:idx_dintegral,integral_fresh_snow_12h:cm_integral,double_integral_snow_drift:idx_dintegral
269,integral_clear_sky_energy_1h:J_integral,integral_fresh_snow_6h:cm_integral,integral_fresh_snow_1h:cm_integral
270,integral_clear_sky_rad:W_integral,integral_snow_drift:idx_integral,integral_fresh_snow_3h:cm_integral
271,integral_snow_drift:idx_integral,integral_snow_melt_10min:mm_integral,integral_sfc_pressure:hPa_integral
272,integral_wind_speed_w_1000hPa:ms_integral,integral_wind_speed_w_1000hPa:ms_integral,integral_snow_drift:idx_integral
273,pv_measurementn-1,pv_measurementn-1,pv_measurementn-1
274,pv_measurementn-2,pv_measurementn-2,pv_measurementn-2
275,pv_measurementn-3,pv_measurementn-3,pv_measurementn-3
276,pv_measurementn-4,pv_measurementn-4,pv_measurementn-4
277,pv_measurementn-5,pv_measurementn-5,pv_measurementn-5
278,pv_measurementn-6,pv_measurementn-6,pv_measurementn-6
279,pv_measurementn-7,pv_measurementn-7,pv_measurementn-7
280,pv_measurementn-8,pv_measurementn-8,pv_measurementn-8
281,pv_measurementn-9,pv_measurementn-9,pv_measurementn-9
282,pv_measurementn-10,pv_measurementn-10,pv_measurementn-10
283,pv_measurementn-11,pv_measurementn-11,pv_measurementn-11
284,pv_measurementn-12,pv_measurementn-12,pv_measurementn-12
285,pv_measurementn-13,pv_measurementn-13,pv_measurementn-13
286,pv_measurementn-14,pv_measurementn-14,pv_measurementn-14
287,pv_measurementn-15,pv_measurementn-15,pv_measurementn-15
288,pv_measurementn-16,pv_measurementn-16,pv_measurementn-16
289,pv_measurementn-17,pv_measurementn-17,pv_measurementn-17
290,pv_measurementn-18,pv_measurementn-18,pv_measurementn-18
291,pv_measurementn-19,pv_measurementn-19,pv_measurementn-19
292,pv_measurementn-20,pv_measurementn-20,pv_measurementn-20
293,pv_measurementn-21,pv_measurementn-21,pv_measurementn-21
294,pv_measurementn-22,pv_measurementn-22,pv_measurementn-22
295,pv_measurementn-23,pv_measurementn-23,pv_measurementn-23
296,pv_measurementn-24,pv_measurementn-24,pv_measurementn-24
