,Model A,Model B,Model C
63,absolute_humidity_2m:gm3,integral_msl_pressure:hPa_integral,integral_pressure_100m:hPa_integral
64,double_integral_pressure_100m:hPa_dintegral,derivative_sun_azimuth:d_d,squared_wind_speed_u_10m:ms_2
65,integral_dew_point_2m:K_integral,double_integral_t_1000hPa:K_dintegral,double_integral_super_cooled_liquid_water:kgm2_dintegral
66,double_integral_clear_sky_rad:W_dintegral,msl_pressure:hPa,double_integral_snow_depth:cm_dintegral
67,wind_speed_v_10m:ms,integral_snow_water:kgm2_integral,derivative_pressure_100m:hPa_d
68,double_integral_precip_5min:mm_dintegral,squared_precip_type_5min:idx_2,double_derivative_wind_speed_u_10m:ms_dd
69,derivative_air_density_2m:kgm3_d,ceiling_height_agl:m,squared_wind_speed_10m:ms_2
70,double_integral_visibility:m_dintegral,squared_sfc_pressure:hPa_2,double_integral_cloud_base_agl:m_dintegral
71,squared_sfc_pressure:hPa_2,integral_air_density_2m:kgm3_integral,integral_pressure_50m:hPa_integral
72,double_integral_t_1000hPa:K_dintegral,derivative_visibility:m_d,effective_cloud_cover:p
73,wind_speed_10m:ms,integral_wind_speed_10m:ms_integral,derivative_direct_rad_1h:J_d
74,double_derivative_sun_elevation:d_dd,relative_humidity_1000hPa:p,precip_5min:mm
75,integral_cloud_base_agl:m_integral,wind_speed_u_10m:ms,integral_cloud_base_agl:m_integral
76,derivative_diffuse_rad_1h:J_d,integral_wind_speed_v_10m:ms_integral,double_integral_wind_speed_10m:ms_dintegral
77,integral_direct_rad:W_integral,double_integral_effective_cloud_cover:p_dintegral,squared_relative_humidity_1000hPa:p_2
78,squared_cloud_base_agl:m_2,squared_wind_speed_10m:ms_2,integral_dew_or_rime:idx_integral
79,double_derivative_clear_sky_rad:W_dd,integral_total_cloud_cover:p_integral,integral_wind_speed_10m:ms_integral
80,double_derivative_cloud_base_agl:m_dd,double_integral_total_cloud_cover:p_dintegral,pressure_50m:hPa
81,integral_elevation:m_integral,derivative_ceiling_height_agl:m_d,wind_speed_v_10m:ms
82,squared_precip_5min:mm_2,integral_rain_water:kgm2_integral,double_integral_sfc_pressure:hPa_dintegral
83,squared_is_day:idx_2,integral_diffuse_rad_1h:J_integral,integral_snow_depth:cm_integral
84,squared_msl_pressure:hPa_2,double_derivative_cloud_base_agl:m_dd,integral_wind_speed_u_10m:ms_integral
85,double_derivative_visibility:m_dd,integral_direct_rad:W_integral,squared_wind_speed_v_10m:ms_2
86,double_integral_wind_speed_v_10m:ms_dintegral,visibility:m,double_integral_fresh_snow_3h:cm_dintegral
87,sfc_pressure:hPa,integral_fresh_snow_24h:cm_integral,integral_absolute_humidity_2m:gm3_integral
88,integral_rain_water:kgm2_integral,double_integral_sfc_pressure:hPa_dintegral,squared_ceiling_height_agl:m_2
89,squared_air_density_2m:kgm3_2,diffuse_rad_1h:J,squared_pressure_100m:hPa_2
90,air_density_2m:kgm3,double_integral_diffuse_rad_1h:J_dintegral,squared_effective_cloud_cover:p_2
91,double_integral_elevation:m_dintegral,wind_speed_10m:ms,relative_humidity_1000hPa:p
92,integral_precip_type_5min:idx_integral,squared_wind_speed_v_10m:ms_2,double_derivative_ceiling_height_agl:m_dd
93,double_integral_super_cooled_liquid_water:kgm2_dintegral,pressure_50m:hPa,squared_total_cloud_cover:p_2
94,integral_ceiling_height_agl:m_integral,integral_dew_or_rime:idx_integral,double_integral_total_cloud_cover:p_dintegral
95,integral_pressure_50m:hPa_integral,double_integral_precip_type_5min:idx_dintegral,diffuse_rad_1h:J
96,precip_5min:mm,integral_absolute_humidity_2m:gm3_integral,derivative_ceiling_height_agl:m_d
97,squared_absolute_humidity_2m:gm3_2,double_derivative_relative_humidity_1000hPa:p_dd,derivative_visibility:m_d
98,integral_snow_water:kgm2_integral,wind_speed_v_10m:ms,double_integral_visibility:m_dintegral
99,double_derivative_diffuse_rad_1h:J_dd,derivative_cloud_base_agl:m_d,squared_snow_water:kgm2_2
100,msl_pressure:hPa,integral_snow_density:kgm3_integral,integral_precip_5min:mm_integral
101,fresh_snow_24h:cm,double_integral_msl_pressure:hPa_dintegral,derivative_cloud_base_agl:m_d
102,integral_absolute_humidity_2m:gm3_integral,double_integral_wind_speed_v_10m:ms_dintegral,double_integral_pressure_100m:hPa_dintegral
103,double_derivative_ceiling_height_agl:m_dd,double_integral_absolute_humidity_2m:gm3_dintegral,total_cloud_cover:p
104,double_integral_snow_water:kgm2_dintegral,double_integral_sun_elevation:d_dintegral,wind_speed_10m:ms
105,integral_visibility:m_integral,derivative_sun_elevation:d_d,squared_sfc_pressure:hPa_2
106,derivative_total_cloud_cover:p_d,double_integral_diffuse_rad:W_dintegral,derivative_msl_pressure:hPa_d
107,integral_fresh_snow_1h:cm_integral,squared_total_cloud_cover:p_2,derivative_sfc_pressure:hPa_d
108,derivative_clear_sky_rad:W_d,double_integral_air_density_2m:kgm3_dintegral,double_derivative_pressure_50m:hPa_dd
109,cloud_base_agl:m,double_integral_clear_sky_rad:W_dintegral,double_integral_absolute_humidity_2m:gm3_dintegral
110,double_derivative_diffuse_rad:W_dd,integral_precip_type_5min:idx_integral,derivative_absolute_humidity_2m:gm3_d
111,double_integral_sun_elevation:d_dintegral,double_integral_direct_rad_1h:J_dintegral,integral_direct_rad_1h:J_integral
112,pressure_100m:hPa,double_integral_super_cooled_liquid_water:kgm2_dintegral,double_integral_prob_rime:p_dintegral
113,double_integral_clear_sky_energy_1h:J_dintegral,effective_cloud_cover:p,ceiling_height_agl:m
114,derivative_msl_pressure:hPa_d,integral_is_day:idx_integral,double_derivative_visibility:m_dd
115,derivative_ceiling_height_agl:m_d,integral_t_1000hPa:K_integral,double_integral_dew_point_2m:K_dintegral
116,snow_water:kgm2,double_integral_rain_water:kgm2_dintegral,squared_visibility:m_2
117,squared_fresh_snow_24h:cm_2,double_integral_precip_5min:mm_dintegral,double_derivative_sun_azimuth:d_dd
118,squared_sun_azimuth:d_2,sun_azimuth:d,integral_total_cloud_cover:p_integral
119,integral_fresh_snow_12h:cm_integral,integral_sun_elevation:d_integral,integral_direct_rad:W_integral
120,month:month,precip_type_5min:idx,double_integral_diffuse_rad_1h:J_dintegral
121,integral_relative_humidity_1000hPa:p_integral,squared_visibility:m_2,integral_air_density_2m:kgm3_integral
122,squared_diffuse_rad_1h:J_2,precip_5min:mm,squared_sun_elevation:d_2
123,derivative_sfc_pressure:hPa_d,integral_direct_rad_1h:J_integral,double_integral_dew_or_rime:idx_dintegral
124,integral_pressure_100m:hPa_integral,double_derivative_absolute_humidity_2m:gm3_dd,squared_snow_depth:cm_2
125,double_integral_rain_water:kgm2_dintegral,double_derivative_sun_elevation:d_dd,integral_msl_pressure:hPa_integral
126,derivative_visibility:m_d,derivative_total_cloud_cover:p_d,double_derivative_total_cloud_cover:p_dd
127,double_integral_fresh_snow_24h:cm_dintegral,derivative_pressure_100m:hPa_d,double_integral_rain_water:kgm2_dintegral
128,double_derivative_t_1000hPa:K_dd,squared_wind_speed_u_10m:ms_2,integral_elevation:m_integral
129,double_integral_precip_type_5min:idx_dintegral,total_cloud_cover:p,integral_diffuse_rad_1h:J_integral
130,integral_precip_5min:mm_integral,double_integral_relative_humidity_1000hPa:p_dintegral,derivative_dew_point_2m:K_d
131,derivative_absolute_humidity_2m:gm3_d,double_integral_is_day:idx_dintegral,rain_water:kgm2
132,double_integral_dew_or_rime:idx_dintegral,squared_is_day:idx_2,integral_sun_azimuth:d_integral
133,squared_snow_depth:cm_2,double_integral_fresh_snow_24h:cm_dintegral,integral_precip_type_5min:idx_integral
